title,question,answer,tag
Bagaimana cara menggunakan santan kelapa untuk meluruskan rambut?,"dok dulu saya memiliki rambut lurus, tapi semakin bertambah umur, rambut saya malah jadi semakin ikal dok. ini kata tante saya coba pake santan kelapa biar nanti lurus lagi rambutnya, cara penggunaan santannya gimana dok? langsung aja gitu ke rambut syaa dok?","untuk Alodokter. bisa saja anda coba lakukan secara alami dengan menggunakan santan, minyak kelapa, atau minyak almond, yaitu dengan langsung mengoleskannya ke rambut sebagai masker rambut, dan dapat dilakukan 2-3 kali seminggu. Selain itu, anda juga dapat menggunakan produk perawatan rambut yang terdiri dari sampo, kondisioner, serum, dan semprotan rambut yang diperuntukkan untuk meluruskan rambut, seperti produk yang mengandung keratin. Anda juga perlu menggunakan sarung bantal berbahan satin, untuk mempertahankan rambut yang menjadi lebih lurus setelah melakukan beberapa perawatan rambut. Namun tentunya beberapa cara alami tersebut membutuhkan waktu yang cukup lama sehingga anda perlu melakukannya secara sabar dan konsisten agar hasilnya dapat terlihat dengan baik nantinya. Jika nantinya anda masih kesulitan untuk meluruskan rambut, maka anda dapat berkonsultasi terlebih dahulu dengan yang lebih ahli dalam bidang tersebut, agar bisa mendapatkan saran untuk meluruskan rambut yang aman tanpa mengalami kerusakan rambut akibat perawatan rambut tertentu.Demikian yang dapat kami sampaikan, semoga bermanfaat. Terima kasih.",rambut
Kenapa ketiak ada benjolan terasa nyeri?,"ijin bertanya dokter, saya ada keluhan dok, di ketiak saya ada benjolan, terasa nyeri, agak keras saya coba geser-geser bisa tapi kembali ke tempat awal, boleh saya tau itu penyakit apa dok?","Benjolan di ketiak anda alami dapat disebabkan oleh beragam hal penyebab seperti : Pembengkakan kelenjar getah bening akibat suatu infeksi Abses atau bisul yaitu benjolan berisi nanah yang disebabkan oleh infeksi bakteri yaitu folikel rambut di ketiak tersumbat oleh keringat dan keratin (protein kulit) benjolan di ketiak sakit bila ditekan yang terjadi ketika keratin dan sel-sel kulit mati yang seharusnya luruh terjebak di dalam kulit ketiak Untuk memastikan penyebab benjolan yang anda alami, anda perlu ke dokter bedah secara langsung agar dapat diperiksa dan dipastikan penyebabnya sehingga bisa ditangani dengan tepat. Untuk dirumah yang bisa anda lakukan ialah : Kompres hangat pada benjolan yang sakit selama 10-15 menit dapat dikompres 3 kali dalam sehari Hindari menggunakan pakaian yang ketat serta tidak menggunakan deodorant sementara waktu Anda juga bisa oleskan salep antibiotik pada benjolan yang sakit 2-3 kali dalam sehari setelah dikompres atau dibersihkan dengan air hangat Konsumsi obat pereda nyeri seperti paracetamol Jika penanganan mandiri tidak membantu segera temui yang bunda untuk ditangani lebih lanjut dengan tepat. Semoga dapat membantu",benjolan kelenjar-getah-bening
Apakah yang dimaksud dengan diagnosa anxiety gerd?,"dok saya punya pertanyaan, saya kemaren ke klinik, terus di surat sakit saya ada tulisan anxiety gerd? itu apa yaa? saya periksa dengan keluhan sakit perut disertai mual dan muntah aja","untuk Alodokter. merupakan kondisi dimana terjadi kenaikan asam lambung hingga kerongkongan yang terletak sejajar dengan dada, sehingga dapat disertai dengan keluhan nyeri atau panas pada dada, dan juga sesak napas. Kondisi ini dapat dipicu dari kebiasaan tidak sehat, seperti berat badan berlebih, pola makan tidak teratur dan tidak sehat, serta karena stres atau kecemasan yang disebut anxiety, sebagai mekanisme yaitu dimana pikiran dan emosi mempengaruhi kondisi fisik tubuh. Namun, kepastian alasan dokter mendiagnosis penyakit tersebut hanya dapat diketahui melalui konsultasi kembali dengan dokter tersebut yang telah melakukan pemeriksaan pada anda sebelumnya. Untuk mencegah kekambuhan gejala dispepsia tersebut, maka anda perlu menjaga berat badan ideal atau menurunkan berat badan jika berlebih, hindari makanan pemicu asam lambung, tingkatkan frekuensi makan menjadi lebih sering namun dalam porsi sedikit-sedikit, hindari berbaring atau berolahraga sesaat setelah makan, serta kelola stres dengan baik.Demikian yang dapat kami sampaikan, semoga bermanfaat. Terima kasih.",asam-lambung gangguan-kecemasan-umum
Cara menghilangkan bintik merah yang terdapat di telapak kaki,"siang dokter, di telapak kaki saya itu pas saya liat ada bintik berwarna merah, awalnya saya cuma merasa gak nyaman di telapak kaki saya.. eh tau\ pas saya cek ada bintik yg saya ceritain di atas dok..gimana ya dok ilanginnya?","Bintik kemerahan di telapak kaki yang membuatnya terasa tidak nyaman mungkin pemicunya ialah (clavus), yakni suatu penebalan kulit akibat tekanan dan gesekan berlebih yang kemudian mengalami peradangan. Selain itu, bintik di telapak kaki Anda mungkin juga muncul karena sebab lain, contohnya callus (kapalan), infeksi kulit (seperti folikulitis, herpes, ektima, kutil), tumor jinak atau ganas tertentu, nevus, dan sebagainya. Cara penanganan bintik di telapak kaki seperti yang Anda alami bisa berbeda-beda tergantung dari pemicunya. Saran kami, cobalah Anda berkonsultasi dengan dokter kami di aplikasi , atau periksalah langsung ke dokter terdekat ya.. Sementara ini, yang bisa dilakukan yakni: Rajin mandi dan cuci kaki dengan sabun agar bersih Gunakan alas kaki yang nyaman, bersih, dan berbantalan empuk saat beraktifitas Jaga berat badan agar tidak kegemukan Hindari penggunaan high heels Tidak sembarangan memanipulasi bintik di telapak kaki Semoga membantu ya..",lipoma folikulitis
Rekomendasi obat pelancar buang air kecil,"hi dokter, dok saya mau tanya obat apa yang harus di konsumsi saat menderita susah buang air kecil, serta merasa sakit saat buang air kecil? kaya ada yang ketahan gak tuntas. obat pelancar bak apa dok yang bagus?","Buang air kecil yang terasa sulit, nyeri, dan tidak tuntas keluarnya bisa timbul karena beragam faktor, contohnya: Kebiasaan menahan buang air kecil Pengaruh kafein, alkohol, atau obat tertentu yang dikonsumsi Masalah saluran kemih, misalnya , batu uretra, , , kanker kandung kemih, gangguan ginjal, overactive bladder Pada wanita, bisa juga karena vaginitis, tanda-tanda hamil, miom, kanker serviks Pada pria, bisa juga karena benign prostatic hyperplasia, prostatitis, kanker prostat Tidak semua jenis obat tepat dikonsumsi untuk mengatasi keluhan Anda. Penentuan jenis obat terbaik haruslah didasari dengan kemungkinan penyebab keluhan itu sendiri. Jadi, baiknya jangan sembarangan ya.. Bila keluhan Anda baru muncul 1-2 hari ke belakang, cobalah Anda mengatasinya dulu dengan: Tidak gemar menahan buang air kecil Jaga kebersihan organ intim dengan baik, termasuk dengan menghindari seks bebas Tidak menggunakan sembarang sabun, antiseptik, pewangi, dan ramuan herba di sekitar organ intim Pilih pakaian dalam yang bersih dan gantilah sering-sering Minum cukup air putih, kurangi kebiasaan minum teh, kopi, minuman kemasan, dan jauhi alkohol Tidak stres atau cemas berlebihan Tidak terburu meminum obat atau herba tanpa arahan dokter Sebaliknya, jika keluhan Anda munculnya sudah lama, silakan diperiksakan langsung ke ya.. Pada kasus tertentu, dokter bisa juga mengarahkan agar dilakukan tes urin, tes darah, USG, cystoscopy, atau tes penunjang lainnya. Semoga membantu.",infeksi-menular-seksual
Obat untuk mengobati demam mual dan sakit kepala,"malam dokter mau tanya saya demam mual dan sakit kepala sejak kemarin, udah minum paracetamol tapi masih demam dok, obat apalagi ya dok yang harus saya minum","Gejala yang anda alami dapat disebabkan karena infeksi bisa akibat infeksi saluran cerna, infeksi saluran kemih dan infeksi saluran napas yang bisa akibat virus ataupun bakteri. Untuk menegakan diagnosis suatu penyakit dari gejala yang anda alami perlunya pemeriksaan ke dokter secara langsung dimana agar dilakukan pemeriksaan berupa tanya jawab, cek tanda vital serta pemeriksaan fisik dari kepala hingga ujung kaki dan terutama pada area yang sakit atau dikeluhan dan jika diperlukan akan dilakukan pemeriksaan tambahan seperti cek darah salah satunya dengan begitu dapat dipastikan keluhan anda alami sehingga dapat ditangani dengan tepat. Sebelum ke dokter anda bisa melakukan penanganan secara mandiri terlebih dahulu dengan melakukan beberapa tips seperti : Kompres hangat untuk meredakan demam pada bagian lipatan ketiak Konsumsi air putih yang banyak bila perlu hangat Konsumsi jahe hangat untuk meredakan mual dan rasa sakit kepala Konsumsi obat pereda nyeri dan menurunkan panas seperti paracetamol per 4 jam sekali minum Isitirahat yang cukup Jika demam anda alami lebih dari 3 hari, disertai muntah berkepanjangan, anda bisa temui secara langsung untuk mendapatkan pemeriksaan dan penanganan lebih lanjut dengan tepat. Semoga dapat membantu",demam
Bagaimana cara mengobati keputihan dengan daun sirih?,selamat siang dok. saya wanita berusia 20 tahun. apakah rebusan daun sirih aman digunakan untuk membasuh miss v? saya pernah dengar katanya rebusan daun sirih bisa digunkan untuk mengobati keputihan. bagaimana cara mengobatinya dok? apakah seminggu sekali digunakan ataua bagaimana? saya pernah baca katanya penggunaan daun sirih tidak boleh sering2. mohon bantuannya dok. terima kasih,"Ada banyak faktor yang bisa menyebabkan berlebih, di antaranya fluktuasi hormonal, stres, iritasi, infeksi, hingga keganasan di sekitar organ intim. Penanganan untuk keputihan ini bisa berbeda, tergantung dari penyebabnya. Daun sirih diketahui memiliki potensi antiseptik yang baik, sehingga mungkin saja bisa dimanfaatkan dalam mengatasi keputihan yang terjadi karena infeksi. Akan tetapi, beberapa studi menyebutkan bahwa penggunaan daun siri untuk membersihkan vagina berisiko juga mengganggu keseimbangan flora normal (kuman baik) di area tersebut, sehingga malah bisa memungkinkan mikroorganisme patogen (kuman penyebab penyakit) untuk berkembang biak lebih subur. Oleh karena itu, baiknya Anda tidak sembarangan juga menggunakan rebusan daun sirih untuk membersihkan vagina Anda. Jika memang Anda bermasalah dengan keputihan berlebih, baiknya Anda cobalah berkonsultasi dengan dokter kami di aplikasi atau periksalah langsung ke terdekat agar mendapat arahan penanganan yang tepat. Sembari itu, Anda bisa lakukan dulu: Bilas vagina dari arah depan ke belakang menggunakan air bersih setiap habis buang air dan habis berhubungan seks Tidak menggunakan sembarang sabun atau pewangi di sekitar vagina Kenakan pakaian dalam yang bahannya breathable, bersih, dan diganti sering-sering Tidak menggunakan sembarang pantyliner, pelumas seks, atau spermisida Hanya lakukan hubungan seks yang aman dan bertanggung jawab Jangan stres berlebihan Perbanyak istirahat, minum air putih, dan makan buah serta sayur yang mengandung kaya antioksidan Semoga membantu ya..",keputihan herbal
Sakit dada sebelah kiri saat bangun tidur,"assalamualaiku wr. wb. dok jadi kan saya pria 27 tahun, merasakan nyeri dada sebelah kiri saat menarik nafas terkadang kumat ketika bangun tidur,. itu kenapa ya? apakah mengarah ke penyakit jantung dokter?","Waalaikumsalam, selamat siang Nyeri dada saat menarik naps dan kambuh ketika bangun tidur kondisi ini bisa disebabkan oleh beragam hal seperti : Nyeri otot akibat otot tegang atau adanya benturan ini paling sering Penyakit asam lambung Peradangan pada paru Penyakit jantung Namun anda jangan berpikir ini langsung penyakit jantung, penyakit jantung umumnya ditandai dengan nyeri dada yang menjalar, detak jantung berdebar kencang, sesak napas, mudah lelah, pembengkakan di kaki. Anda amati terlebih dahulu jika ada gejala seperti ini anda bisa temui dokter secara langsung, namun jika nyeri hilang timbul bisa jadi hanya akibat nyeri otot saja, anda bisa atasi dengan beberapa tips seperti : Melakukan olahraga atau peregangan Saat tidur sebaiknya hindari tidur menghimpit dada Kelola stres dan cemas dengan melakukan relaksasi Jika nyeri kambuh bisa kompres dengan air hangat dan konsumsi obat pereda nyeri seperti paracetamol Semoga dapat membantu",penyakit-jantung nyeri-dada
Penyebab sakit kepala di kening atas alis,"alodokter, dok, saya sakit kepala lokasinya di kening atas alis kanan, berdenyut dan kalau saya nundukkan kepala terasa sakit seperti tertusuk. ini kenapa dan mohon penjelasannya, dok.","Nyeri berdenyut atau bagai tertusuk di kepala, tepatnya di dahi atas alis sebelah kanan, paling sering disebabkan oleh . Namun bisa juga, keluhan Anda tersebut muncul karena pencetus lain, contohnya nyeri kepala cluster, sinusitis, aneurisma pembuluh darah di otak, tumor otak, cidera kepala, hipertensi, meningitis, ensefalitis, gangguan psikosomatis, dan sebagainya. Jika intensitas keluhan Anda masih ringan, baiknya Anda tidak panik dulu. Cobalah mengatasinya secara mandiri dengan: Minum obat pereda rasa nyeri yang dijual bebas, contohnya paracetamol Makan teratur, namun hindari yang mengandung banyak penyedap dan pengawet Batasi menatap gawai jika tidak mendesak Biasakan tidur lebih awal dan juga teratur Rajin berolahraga dan bermeditasi, jangan stres berlebihan Namun, jika keluhan terasa makin mengganggu, apalagi disertai muntah, kaku kuduk, pandangan ganda, kejang, dan keluhan lain yang berat, segeralah memeriksakan diri ke agar mendapat penanganan tepat ya.. Semoga membantu.",sakit-kepala migrain
Penyebab dan cara mengobati sakit kepala depan,"selamat siang alodokter, saya ada keluhan dok baru baru ini saya merasa sakit kepala depan di dahi. saya konsumsi obat tersebut idak ada kemajuan. jadi apa ya dok penyebab sakit kepala bagian depan saya ini? dan bagaimana cara menyembuhkan ya dok?","di sisi depan kepala (dahi) biasanya muncul karena nyeri kepala primer, seperti migrain atau nyeri kepala cluster. Selain itu, nyeri kepala yang Anda alami bisa juga muncul karena pencetus lain, misalnya sinusitis, malformasi pembuluh darah di kepala, tumor intrakranial, cidera kepala, beberapa jenis infeksi (msalnya influenza, demam Dengue, otitis, meningitis), gangguan psikosomatis, asthenopia, miopia, gangguan metabolik, dan sebagainya. Jika nyeri yang Anda rasakan masih ringan, tidak disertai demam, kaku kuduk, kejang, mual muntah, pandangan ganda, dan keluhan lain yang berat, sebaiknya jangan panik dulu. Berupayalah mengatasinya dengan: Minum obat pereda nyeri, seperti paracetamol Mengompres hangat sisi kepala yang nyeri Meredakan stres Kurangi menatap gawai berlebihan Makan teratur dan minum banyak air putih Tidur cukup dan jangan terlalu larut malam Sebaliknya, jika keluhan terasa memberat, jangan segan diperiksakan segera ke agar dievaluasi (misalnya dengan tes laboratorium, rontgen, CT scan, MRI) dan ditangani lebih optimal ya.. Semoga membantu.",sakit-kepala-tegang
Benjolan di payudara sebelah kiri bagian bawah,"alodokter, saya ada keluhan, benjolan di payudara sebelah kiri bawah. benjolan itu terasa sakit dan nyeri dok. kenapa ya dok? itu benjolan apa dok?",Benjolan payudara ialah jaringan yang teraba lebih padat atau menonjol di dalam payudara dimana kondisi ini dapat disebabkan oleh berbagai hal seperti : Kista payudara yaitu benjolan payudara berupa kantong yang berisi cairan yang umumnya teraba seperti balon yang berisi air dan dapat digerakan yaitu benjolan payudara jinak yang terbentuk dari jaringan kelenjar payudara dan jaringan ikat yang dimana tekturnya padat dan kenyal dan mudah digerakan Lipoma yaitu benjolan yang terbentuk dari lemak Abses yaitu benjolan yang berisi nanah dan lainnya Untuk menegakan diagnosis pasti dari keluhan yang anda alami diperlukan pemeriksaan secara langsung ke agar dapat dilihat dan disentuh jika mengarah pada suatu tumor maka penanganan dilakukan berupa tindakan pembedahan jika suatu abses bisa dengan obatan dan pembedahan. Untuk dirumah mengurangi gejala yang bisa anda lakukan ada beberapa hal seperti : Kompres hangat pada bagian yang sakit Hindari penggunaan bra yang ketat atau saat dirumah tidak menggunakan bra Konsumsi obat pereda nyeri seperti paracetamol salah satunya Semoga dapat membantu,benjolan-payudara
Apa penyebab anak sering terkejut saat tidur?,"alodokter, saya ingin menanyakan, kenapa yah setiap anak saya tidur dia selalu kaget kagetan, dari bayi begitu dok awalnya hanya tangannya saja yg bergetar, makin kesini sampai kaki dan tubuhnya bergetar dok kaya kagetan gitu, apa itu wajar y dok?","Si kecil kaget saat tidur terutama saat usia bayi hal ini merupakan kondisi wajar dan normal karena respon motorik yang telah ada sejak lahir. Respon motorik ini sebagai pertahanan dan upaya mereka berkembang di lingkungan barunya dengan respon refleks tidak sengajah. Reflek kaget ini disebit dengan refleks moro alis refleks terkejut. Kondisi refleks kaget ini akan hilang dalama beberapa bulan biasanya akan mulai hilang pada usia 2 hingga 6 bulan atau bahkan lebih. Namun bila anak sudah besar tidak bayi lagi dan masih sering mengalami kagetan saat tidur maka ibu bisa bawa anak ke karena bisa jadi adanya suatu ganggaun atau penyakit seperti ganggaun pada saraf, gangguan metabolik, penyakit autoiumun dan lainnya. Namun anak kagetan saat tidur juga bisa terjadi karena kelelahan, stres atau cemas, mimpi buruk dan lainnya. Saran saya coba cukupi waktu tidur anak atau istirahat anak, berikan makanan yang bergizi dan minum air putih yang cukup serta berikan kenyamanan untuk anak seperti tidur disampingnya dan hindari anak bermain gadget terlalu lama dan menoton film yang menyeramkan. Namun jika tidak ada perubahan sebaiknya temui dokter secara langsung. Semoga dapat membantu",gangguan-tidur sleep-apnea
Tenggorokan seperti ada dahak namun tidak batuk pilek,"saya beberapa hari ini mengalami sakit tenggorokan. ternggorokan saya seperti ada dahaknya, namun pas mau di keluarin susah sekali dok. saya udah coba beberapa kali. padahal saat ini saya tidak sedang mengalami batuk pilek. saya harus minum obat apa ya dok, agar ini bisa lega tenggorokannya? thanks","dahak merupakan lendir yang berfungsi untuk melindungi dan membersihkan saluran pernapasan dari benda asing seperti debu, asap rokok, serta kuman dan virus penyebab infeksi. namun ketika saluran pernapasan mengalami peradangan atau infeksi maka dahak akan diproduksi lebih banyak sehingga menumpuk di tenggorokan yang dapat menimbulkan rasa tidak nyaman. ada beberapa tips yang bisa anda lakukan untuk mengeluarkan dahak seperti : minum air putih yang banyak atau bila perlu hangat konsumsi madu mandi dengan air hangat kumur dengan air garam hangat menepuk dada atau punggung untuk mengeluarkan dahak anda juga dapat konsumsi obat batuk berdahak yang dapat mengencerkan dahak sehingga mudah dikeluarkan umumnya jika penyebab nya sudah teratasi keluhan tenggorokan berdahak akan membaik. jika lebih dari 10 hari keluhan tidak membaik atau anda semakin terasa menganggu anda bisa konsultasi melalui via chat aplikasi alodokter dengan dokter THT untuk mendapatkan pengobatan. namun jika mengalami kesulitan bernapas atau mengalami sesak maka sebaiknya ke UGD segera untuk mendapatkan penanganan. semoga dapat membantu",faringitis
Bagaimana cara mengatasi kaki yang sering kesemutan?,"halo dok, saya pria 27 thau. kaki saya sering kesemutan apalagi kalo duduk bersila dan itu lama. yg saya tanyakan bagaiman pertolongan pertama yg harus saya akukan saat kesemutan? soalnya ini menggangu sekali dok.. bagaimana cara mengatasinya agar saya tidak kesemutan lagi?","Duduk bersila untuk waktu yang lama bisa membuat aliran darah dari dan ke kaki menjadi kurang lancar, sehingga berimbas pada . Bukan hanya itu, kesemutan yang kerap Anda rasakan bisa pula muncul atau diperparah oleh beragam faktor lain, misalnya diabetes, kekurangan nutrisi neurotropik, penyakit arteri perifer, neuropati perifer, trombosis vena dalam, fibromyalgia, multiple sclerosis, stroke, radang sendi, gangguan cemas, dan banyak lagi gangguan medis yang lain. Menilik dari usia Anda yang masih relatif muda, agaknya keluhan Anda bisa coba diatasi dulu dengan: Hindari kebiasaan duduk bersila terlalu lama Kenakan celana yang longgar dan nyaman bahannya Jangan gunakan sepatu sempit Aktif berolahraga setiap 1-2 hari sekali Tidak merokok Banyak mengkonsumsi sayur, buah, dan biji-bijian utuh yang mengandung kaya vitamin B kompleks, kalsium, kalium, magnesium, dan antioksidan Istirahat cukup dan bijaklah mengelola kecemasan Kompres hangat kaki Anda dan luruskan saat terasa kesemutan Apabila keluhan berulang terus, segeralah Anda periksa ke dokter atau terdekat ya.. Semoga membantu.",kesemutan
Apa yang terjadi pada janin saat berhubungan?,"saya hamil usia 20 weeks, dan hubungan intim, selesai hubungan intim perut bawah kram. dok apakah yang kami lakukan membahayakan janin? dan apa yang terjadi pada janin saat hubungan intim? apakah ada posisi2 tertentu yang tidak membahayakan janin?","Berhubungan seks saat hamil, asal dilakukan secara wajar dan dengan teknik yang tepat, sejatinya tidaklah berbahaya. Bagi ibu, berhubungan seks saat hamil bahkan bisa membantunya merasa rileks sekaligus memperbaiki beragam keluhan yang mengganggu, seperti mual, pusing, sulit tidur, lemas, dan sebagainya yang kerap menghantui selama kehamilannya. Akan tetapi, hubungan seks ketika hamil memang berisiko membuat . Kram perut ini, selain karena kontraksi palsu yang wajar, mungkin juga diperparah oleh beragam kondisi patologis lain, contohnya ancaman keguguran atau persalinan prematur, sistitis, batu kandung kemih, keracunan makanan, gastroenteritis, sindrom iritasi usus, radang panggul, miom, hernia, dan sebagainya. Apabila kram yang muncul intensitasnya masih ringan, baiknya jangan panik dulu. Cobalah mengatasinya dengan: Mengompres hangat perut yang kram Membatasi dulu hubungan seks yang berlebihan Jika terpaksa harus berhubungan seks, usahakan posisinya tidak membuat janin tertekan (bisa dicoba dengan posisi menyamping atau woman on top), batasi penetrasi dan ejakulasi di dalam vagina, lakukan hanya dengan pasangan yang sehat, serta imbangi dengan menjaga kebersihan organ intim secara baik Tidak dulu mengangkat benda berat dan melakukan aktifitas fisik berat lainnya, seperti berjalan jauh dan naik turun tangga Jangan terlalu stres Minum banyak air putih dan makan yang teratur, namun jangan yang terlalu pedas apalagi jajan sembarangan Saat ibu berhubungan seks, sejatinya tidak ada perubahan spesifik yang akan dialami janin dalam kandungannya. Hanya saja, selain bisa membuatnya tertindih akibat posisi yang tidak tepat, hubungan seks saat hamil berisiko juga menjadi jalan penularan infeksi, terlebih pada pasangan yang tidak menjaga dengan baik kebersihan organ intimnya dan tidak juga menghindari hubungan seks berisiko. Karenanya, jika upaya di atas belum bisa mengatasi keluhan Anda, baiknya segeralah diperiksakan ke ya.. Semoga membantu.",kehamilan hubungan-intim
Bahayakah jika hamil 7 bulan perut sudah tampak turun?,"hallo dok, saya mau bertanya, saat ini saya lagi hamil dan baru masuk 7 bulan, tapi kata teman2 saya perut saya sudah kelihatan turun gitu , ini hamil pertama saya dok, dan postur tubuh saya emang kecil ndak bisa gendut. tapi debay nya sih aktif terus dok. kira2 berpengaruh nggak yaa dok di debay nya? makasih.","untuk memastikan normal pertembuhan janin ialaj dengan melakukan pemeriksaan TFU atau tinggi fundus uteri atau pucak rahim pada usia kehamilan 7 bulan atau 28 minggu TFU umumnya sekitar 27-28,5 cm atau sekitar 2-3 jari diatas perut. jadi tidak bisa hanya dari penampakan saja, perlu diperiksa lebih lanjut posisi perut sudah turun bisa dikatakan normal dan juga dapat dipengaruh oleh posisi janin dan ukuran tubuh ibu. untuk memastikan kondisi kehamilan bunda baik-baik saja sebaiknya melakukan konsultasi ke bidan atau ke dokter kandungan untuk mendapatkan pemeriksaan selama semua dalam batas normal maka bunda tidak perlu khawatir. tepenting bunda menjaga kesehatan dengan melakukan beberapa tips seperti : pastikan berat badan bunda tidak turun istirahat yang cukup kelola stres konsumsi air putih setidaknya 2 liter sehari konsumsi multivitamin untuk ibu hamil dan susu ibu hamil lakukan pemeriksana kehamilan rutin ke bidan atau dokter semoga dapat membantu",konsultasi-kehamilan
Cara ampuh untuk menghilangkan siku dan lutut hitam,"siang dok, saya tuh gak pede nih, soalnya siku sama lutut saya hitam dok, saya jadi ga pede kalo pake baju atau celana pendek jadi enggak pede dok.. cara apa yg perlu dilakukan untuk menghilangkan siku dan lutut yg hitam ini dok? yg ampuh ya","Karena gesekan yang berlebihan dan lipatan kulit di area tersebut, lutut dan siku memang rentan menjadi kehitaman. Kondisi ini bisa diperparah juga dengan penumpukan sel kulit mati atau gangguan medis lain yang diderita, misalnya hiperpigmentasi pasca radang, melasma, neurodermatitis, xerosis, eksim, dan sebagainya. Supaya kulit lutut dan siku Anda tampak lebih cerah, yang perlu dilakukan yakni: Rajin mandi setiap pagi dan sore hari Hindari gesekan berlebih di sekitar lutut dan siku Kenakan pelembab dan tabir surya sebelum berpakaian Gunakan pakaian yang bahannya lembut dan longgar Lakukan lutut dan siku setiap 2 kali seminggu, misalnya menggunakan kulit jeruk atau campuran madu dengan gula Minum lebih banyak air putih dan makan variasi buah serta sayur-sayuran yang mengandung kaya vitamin C, vitamin E, dan antioksidan lainnya Hindari paparan langsung sinar matahari yang berlebihan Lebih lanjut, Anda bisa berkonsultasi dengan dokter kami di aplikasi atau periksalah langsung ke terdekat ya.. Semoga membantu.",flek-hitam folikulitis
Obat untuk mengatasi gatal berair di jari kaki yang berkepanjangan,"ãâ halo dok,saya ingin bertanya. awalnya jari kaki saya , ini sudah mau 2 bulan dok. awalnya itu hanya di sela jari kaki, tapi semakin melebar dok. saya udah coba minum obat gatal dan pake bedak buat gatal tapi gak mempang.. gatalnya juga sampe berair gitu dok.. gak sembuh2 malah tambah parah. sempat mengering lalu mengelupas,lalu berair, lalu kumat lagi. ulang2 seperti itu. mohon bantuannya dokterã°âââã°âââ» bagaimana cara menyembuhkan gatal berair di kaki yg berkepanjanganini","untuk Alodokter.Kemungkinan kondisi yang anda alami tersebut bisa saja mengarah kepada yang merupakan infeksi jamur dan hanya dapat diatasi dengan obat antijamur baik dalam bentuk salep ataupun obat minum. Kondisi tersebut akan lebih mudah dialami jika sering melakukan aktivitas atau pekerjaan yang melibatkan air atau sering menggunakan alas kaki yang lembab dan tidak pas atau terlalu sempit. adalah dengan menggunakan obat antijamur oles selama 1-2 minggu, rutin membersihkan kaki dengan larutan garam, jaga kaki agar selalu bersih dan kering, gunakan bedak kaki anti jamur, ganti kaus kaki setiap hari dan gunakan 2 alas kaki yang berbeda secara selang seling setiap harinya. Jika nantinya keluhan belum membaik maka menandakan bahwa anda perlu memeriksakan diri ke dokter secara langsung, agar dapat dilakukan pemeriksaan dan penanganan lebih lanjut. Demikian yang dapat kami sampaikan, semoga bermanfaat. Terima kasih.",kudis kutu-air
Rekomendasi obat keracunan makanan di apotik,"saya sekeluarga makan tumis jamur yang kami temukan di kebun belakang rumah, jamur itu tumbuh di batang kayu yang udah di tebang. biasanya kami tidak apa2 dokter makan jenis jamur ini. kenapa kali ini setelah makan kami sekaluarga terasa pusing mual dan muntah2 ya dok. sepertinya keracunan makanan deh dok. kira-kira obat keracunan makanan di apotek apa dokter yang bagus?","Jamur yang tumbuh dikayu memiliki bentuk menyerupai kipas denagn warna coklat keungunan yang ditemukan di wilaya yang panas dan lembap. Jamur mengandung beragam nutrisi seperti air, protein, lemak, karbohdirat, serat serta beberapa jenis vitamin dan mineral. Karena kandungan nya ini dapat memberikan manfaat untuk kesehehatan, walau memiliki banyak manfaat tidak semua orang bisa konsumsi jamur ini, jika ada gangguan kesehatan sebaiknya konsultasikan terlebih dahulu dengan dokter. Untuk setelah konsumsi jamur mengalami keluhan bisa jadi mengalami keracunan jamur akibat kurangnya kebersihan dalam pengelolahan, atau konsumsi jamur berlebihan, atau bisa jadi jamur yang anda konsumsi jamur liar yang dimana berpotensi mengalami kercaunana yang ditandai dengan mual, muntah, pusing, diare dan kram perut. Sebaiknya untuk anda konsumsi jamur yang dikembangakn di pertanian khusus dan di jual oleh produsen terpercaya lebih aman, dari pada anda cari sendiri yang belum dipastikan keamannya karena tidak semua jenis jamur yang tumbuh bisa dikonsumsi. Untuk mengatasi keluhan anda, dirumah yang bisa dilakukan ialah : Konsumsi air putih yang banyak Konsumsi rebusan jahe hangat Istirahat yang cukup Untuk penanganan lebih lanjut jika keluhan tidak mereda anda dianjurkan menemuisecara langsung ya agar diperiksa dan ditangani dengan lebih tepat, Semoga dapat membantu",obat keracunan-makanan
